time,name,year,event
23.29,Jocelyn Crawford,2019,50 FREE
23.31,Ava Sealander,2022,50 FREE
23.49,Kelly Ngo,2016,50 FREE
23.71,Helen Liu,2014,50 FREE
23.76,Michele Kee,2014,50 FREE
23.77,Natalia Orbach-M,2020,50 FREE
23.77,Suzia Starzyk,2020,50 FREE
23.87,Katie Bilotti,2010,50 FREE
23.93,Jenni Rinker,2011,50 FREE
24.02,Annika Sharma,2023,50 FREE
51.05,Kelly Ngo,2016,100 FREE
51.24,Jocelyn Crawford,2017,100 FREE
51.41,Michele Kee,2014,100 FREE
51.56,Natalia Orbach-M,2020,100 FREE
51.56,Ava Sealander,2022,100 FREE
51.88,Riley Hoffman,2019,100 FREE
52.05,Emma Jones,2009,100 FREE
52.05,Jenni Rinker,2011,100 FREE
52.14,Janet Tran,2020,100 FREE
52.17,Ella Blake,2022,100 FREE
1:50.30,Ella Blake,2022,200 FREE
1:51.89,Sarah Heine,2006,200 FREE
1:52.40,Katy Shaw,2023,200 FREE
1:52.55,Natalia Orbach-M,2022,200 FREE
1:52.57,Riley Hoffman,2019,200 FREE
1:52.67,Augusta Lewis,2022,200 FREE
1:52.80,Leila El Masri,2022,200 FREE
1:52.83,Christina Campbell,2020,200 FREE
1:52.88,Sun Young Byun,2023,200 FREE
1:52.89,Jamee Mitchum,2022,200 FREE
4:57.37,Mia Syme,2018,500 FREE
4:59.22,Ella Blake,2022,500 FREE
4:59.78,Leila El Masri,2022,500 FREE
5:00.06,Whitney Dawson,2009,500 FREE
5:00.21,Katy Shaw,2023,500 FREE
5:00.47,Carliann Brashier,2009,500 FREE
5:01.17,Lizzie Carrade,2017,500 FREE
5:01.99,Gracey Hiebert,2020,500 FREE
5:02.16,Molly Loftus,2014,500 FREE
5:02.23,Lauren Williams,2002,500 FREE
10:14.33,Whitney Dawson,2009,1000 FREE
10:15.40,Mia Syme,2019,1000 FREE
10:22.59,Carliann Brashier,2009,1000 FREE
10:22.84,Lizzie Carrade,2017,1000 FREE
10:24.14,Molly Loftus,2014,1000 FREE
10:24.82,Lauren Williams,1999,1000 FREE
10:26.34,Gracey Hiebert,2022,1000 FREE
10:26.89,Ella Blake,2022,1000 FREE
10:33.15,Leila El Masri,2022,1000 FREE
10:36.60,L Rosenberger,2017,1000 FREE
16:58.48,Whitney Dawson,2009,1650 FREE
17:03.21,Mia Syme,2019,1650 FREE
17:06.78,Carliann Brashier,2009,1650 FREE
17:09.09,Lauren Williams,1998,1650 FREE
17:09.26,Lizzie Carrade,2017,1650 FREE
17:12.18,Gracey Hiebert,2020,1650 FREE
17:12.46,Ella Blake,2022,1650 FREE
17:13.58,Molly Loftus,2014,1650 FREE
17:21.98,Katy Shaw,2023,1650 FREE
17:24.49,L Rosenberger,2016,1650 FREE
55.66,Kelly Ngo,2015,100 BACK
55.67,Jocelyn Crawford,2017,100 BACK
55.91,Jamee Mitchum,2022,100 BACK
56.11,Katie Bilotti,2010,100 BACK
56.74,Tessa Dover,2010,100 BACK
56.83,Sammy Ennis,2022,100 BACK
57.18,Sun Young Byun,2023,100 BACK
57.36,Annika Jessen,2014,100 BACK
57.47,Elsa Cheng,2011,100 BACK
57.56,Jenni Rinker,2009,100 BACK
1:59.91,Jamee Mitchum,2022,200 BACK
2:02.10,Tessa Dover,2010,200 BACK
2:03.73,Ivy Chen,2017,200 BACK
2:03.85,Christina Campbell,2020,200 BACK
2:03.92,Sammy Ennis,2022,200 BACK
2:05.10,Natalie Larsen,2019,200 BACK
2:05.56,Jenni Rinker,2011,200 BACK
2:05.71,Anna Werts,2022,200 BACK
