"Athlete","Year","Time","Meet","Meet Date","Wind"
"Carroll, Michael","SO-2",11.07,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",1.9
"Carroll, Michael","SO-2",11.23,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1.2
"Macdonald, Jeff","",11.24,"SCIAC Quad Meet","Apr 17, 2010",-1
"Carroll, Michael","SO-2",11.24,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",0.5
"Carroll, Michael","SO-2",11.28,"SCIAC Championships","Apr 30, 2010",0.9
"Pittman, Ryan","SR-4",11.33,"Claremont Classic Multi","May 13, 2010",1.3
"Weyerhaeuser, Jake","",11.41,"SCIAC Championships","Apr 30, 2010",0.6
"Weyerhaeuser, Jake","",11.45,"4 Way Scoring Meet","Feb 20, 2010",1.3
"Hansen, Kyle","",11.51,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",1.9
"Hansen, Kyle","",11.51,"Spring Break Classic","Mar 20, 2010",1.3
"Weyerhaeuser, Jake","",11.53,"SCIAC Quad Meet","Apr 17, 2010",-1
"Pittman, Ryan","SR-4",11.54,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",-0.7
"Hansen, Kyle","",11.55,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",1.7
"Hansen, Kyle","",11.6,"SCIAC Quad Meet","Apr 17, 2010",0.6
"Hansen, Kyle","",11.6,"SCIAC Championships","Apr 30, 2010",-0.1
"Blasher, Daniel","FR-1",11.64,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",1
"Pittman, Ryan","SR-4",11.65,"CSUN Multi's","Mar 18, 2010",-1.2
"Hansen, Kyle","",11.68,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1.2
"Pittman, Ryan","SR-4",11.74,"4 Way Scoring Meet","Feb 20, 2010",0.8
"Blasher, Daniel","FR-1",11.76,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",-0.7
"Hansen, Kyle","",11.78,"4 Way Scoring Meet","Feb 20, 2010",1.3
"Grossman, Skyler","FR-1",11.79,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",0.4
"Grossman, Skyler","FR-1",11.84,"4 Way Scoring Meet","Feb 20, 2010",1.3
"Soll, Jason","SO-2",11.88,"SCIAC Championships","Apr 30, 2010",-0.1
"Soll, Jason","SO-2",11.91,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",0
"Grossman, Skyler","FR-1",11.91,"Rossi Relays","Feb 27, 2010",1.8
"Soll, Jason","SO-2",11.92,"Spring Break Classic","Mar 20, 2010",1.7
"Grossman, Skyler","FR-1",11.92,"Spring Break Classic","Mar 20, 2010",1.3
"Grossman, Skyler","FR-1",11.99,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",-0.7
"Soll, Jason","SO-2",12.1,"SCIAC Quad Meet","Apr 17, 2010",0.6
"Soll, Jason","SO-2",12.18,"4 Way Scoring Meet","Feb 20, 2010",0.8
"Soll, Jason","SO-2",12.28,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",0.4
"Cheung, Jeremy","SO-2",12.55,"4 Way Scoring Meet","Feb 20, 2010",0.8
"Honda, Masanori","SR-4",12.56,"SCIAC Quad Meet","Apr 17, 2010",0.8
"Boone, Ryan","FR-1",12.64,"Rossi Relays","Feb 27, 2010",0.5
"Cheung, Jeremy","SO-2",12.68,"SCIAC Quad Meet","Apr 17, 2010",0.8
"Cheung, Jeremy","SO-2",12.82,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",1
"Cheung, Jeremy","SO-2",13.14,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",0
